propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
5136-M6457522,"{'id': '3', 'nombre': 'Oficina'}",320000000,37.0,37.0,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,,Abad Faciolince  S.A,Usado,"{'lon': -75.60465, 'lat': 6.16048}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca-1-banos-1-garajes/5136-M6457522,Entre 10 y 20 años,5,2026-03-26
14473-M4888302,"{'id': '3', 'nombre': 'Oficina'}",340000000,36.2,36.2,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,LAS VEGAS,Las Vegas,350000.0,INMOBILIARIA AL SUR S.A.S,Usado,"{'lon': -75.5976, 'lat': 6.1670327}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-las-vegas-1-banos-1-garajes/14473-M4888302,Entre 5 y 10 años,6,2026-03-26
10583-M5575095,"{'id': '3', 'nombre': 'Oficina'}",4080000000,480.0,480.0,,4,4,"{'id': '4483', 'nombre': 'Sabaneta'}",,URBANIZACION GORRION,Aves Maria,900000.0,DORA LUCIA GONZALEZ SEPULVEDA,Usado,"{'lon': -75.61724, 'lat': 6.148975}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-urbanizacion-gorrion-4-banos-4-garajes/10583-M5575095,Entre 10 y 20 años,6,2026-03-26
4673-M6110841,"{'id': '3', 'nombre': 'Oficina'}",330000000,40.7,40.7,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,MANUEL RESTREPO,Manuel Restrepo,512738.0,ALBERTO ALVAREZ,Usado,"{'lon': -75.60961, 'lat': 6.1569643}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-manuel-restrepo-1-banos-1-garajes/4673-M6110841,Más de 20 años,5,2026-03-26
4673-M5621432,"{'id': '3', 'nombre': 'Oficina'}",535000000,25.65,25.65,,0,0,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,803918.0,ALBERTO ALVAREZ,Usado,"{'lon': -75.6051, 'lat': 6.161696}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca/4673-M5621432,Entre 10 y 20 años,3,2026-03-26
21175-M6159843,"{'id': '3', 'nombre': 'Oficina'}",360000000,45.0,45.0,,2,0,"{'id': '4483', 'nombre': 'Sabaneta'}","{'id': '102', 'nombre': 'Otros'}",SANTA ANA,Santa Ana,184000.0,MJT Propiedad Raíz,Usado,"{'lon': -75.614914, 'lat': 6.15156}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-santa-ana-2-banos/21175-M6159843,Entre 0 y 5 años,5,2026-03-26
17024-M6353596,"{'id': '3', 'nombre': 'Oficina'}",330000000,40.0,40.0,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,MANUEL RESTREPO,Mayorca,512000.0,MI LUGAR INMOBILIARIO,Usado,"{'lon': -75.60958, 'lat': 6.1567984}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-manuel-restrepo-1-banos-1-garajes/17024-M6353596,Entre 0 y 5 años,7,2026-03-26
11167-M5515892,"{'id': '3', 'nombre': 'Oficina'}",280000000,33.7,36.2,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,636000.0,ARRENDAMIENTOS LONDOÑO GOMEZ SA,Usado,"{'lon': -75.60416, 'lat': 6.16184}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca-1-banos-1-garajes/11167-M5515892,Entre 0 y 5 años,4,2026-03-26
13957-M5711249,"{'id': '3', 'nombre': 'Oficina'}",350000000,33.0,33.0,,0,0,"{'id': '4483', 'nombre': 'Sabaneta'}",,VILLAS DEL CARMEN,Villas Del Carmen,,Coninsa Inmobiliaria,Usado,"{'lon': -75.6122, 'lat': 6.156991}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-villas-del-carmen/13957-M5711249,Entre 10 y 20 años,6,2026-03-26
687-M6400043,"{'id': '3', 'nombre': 'Oficina'}",280000000,35.0,35.0,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}","{'id': '102', 'nombre': 'Otros'}",RESTREPO NARANJO,Sabaneta,400000.0,PROINTEGRAL SA,Usado,"{'lon': -75.61055, 'lat': 6.1544795}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-restrepo-naranjo-1-banos-1-garajes/687-M6400043,Entre 5 y 10 años,5,2026-03-26
687-M2783742,"{'id': '3', 'nombre': 'Oficina'}",370000000,40.0,40.0,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,RESTREPO NARANJO,Restrepo Naranjo,330000.0,PROINTEGRAL SA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-restrepo-naranjo-1-banos-1-garajes/687-M2783742,Entre 10 y 20 años,5,2026-03-26
4334-M5808005,"{'id': '3', 'nombre': 'Oficina'}",575000000,36.0,36.0,,1,0,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,,Rentamos,Usado,"{'lon': -75.61657, 'lat': 6.15153}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca-1-banos/4334-M5808005,Entre 5 y 10 años,4,2026-03-26
687-M6161991,"{'id': '3', 'nombre': 'Oficina'}",4900000000,700.0,700.0,,2,4,"{'id': '4483', 'nombre': 'Sabaneta'}","{'id': '102', 'nombre': 'Otros'}",RESTREPO NARANJO,SABANETA,4900000.0,PROINTEGRAL SA,Usado,"{'lon': -75.61044, 'lat': 6.1542516}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-restrepo-naranjo-2-banos-4-garajes/687-M6161991,Entre 10 y 20 años,5,2026-03-26
509-896,"{'id': '3', 'nombre': 'Oficina'}",370000000,36.0,36.0,,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,SAN RAFAEL,Mayorca,350000.0,INDIKA,Usado,"{'lon': -75.60529, 'lat': 6.16093}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-san-rafael-1-banos-1-garajes/509-896,Entre 0 y 5 años,7,2026-03-26
687-M5940133,"{'id': '3', 'nombre': 'Oficina'}",985000000,200.0,200.0,,4,2,"{'id': '4483', 'nombre': 'Sabaneta'}","{'id': '102', 'nombre': 'Otros'}",SANTA ANA,sabaneta,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.61403, 'lat': 6.1532755}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-santa-ana-4-banos-2-garajes/687-M5940133,Entre 10 y 20 años,4,2026-03-26
